"","lon","lat"
"246",-111.0937311,39.3209801
"249",-79.3831843,43.653226
"250",-96.7969879,32.7766642
"252",-118.2436849,34.0522342
"254",-93.2650108,44.977753
"255",-96.7969879,32.7766642
"256",-117.8311428,33.7174708
"257",-3.435973,55.378051
"258",-95.9979883,41.2523634
"259",-82.4571776,27.950575
"260",-71.0588801,42.3600825
"261",-72.7300945,41.826488
"263",36.8138399,-1.2726737
"264",-74.6796651,40.2115109
"265",-96.7969879,32.7766642
"266",-79.0377388,43.0962143
"269",-77.0368707,38.9071923
"273",-84.2332718,39.5522815
"274",-113.9983445,46.8734106
"275",-82.395139,31.193111
"276",-87.9889556,41.931696
"278",-122.2913078,37.8271784
"279",-79.3831843,43.653226
"280",-77.6109219,43.16103
"281",-78.6568942,21.4691137
"282",-95.712891,37.09024
"283",-81.699154,41.506431
"286",32.8597419,39.9333635
"287",-73.134961,40.789142
"288",-4.5168056,36.5987966
"289",-77.1945247,41.2033216
"291",133.775136,-25.274398
"292",-7.6920536,53.1423672
"294",-1.9812313,43.318334
"295",-122.2913078,37.8271784
"296",114.057865,22.543096
"300",-87.6297982,41.8781136
"301",-4.9088785,51.674078
"302",-81.3792365,28.5383355
"303",-77.3592062,38.8627713
"304",-74.0059728,40.7127753
"305",-77.2013705,39.1434406
"306",-95.971261,36.153315
"307",-74.0059728,40.7127753
"308",-114.9817213,36.0395247
"309",133.775136,-25.274398
"311",-73.9441579,40.6781784
"314",-119.6981901,34.4208305
"315",-75.169785,39.955727
"316",-95.712891,37.09024
"317",-83.1285242,40.5886699
"318",-81.6943605,41.49932
"319",-0.1277583,51.5073509
"321",-80.7697,34.718077
"324",-85.6680863,42.9633599
"325",-71.3770456,42.3251862
"326",-73.0931641,41.3164856
"327",-97.7430608,30.267153
"328",-74.0059728,40.7127753
"329",-80.0533746,26.7153424
"331",-74.0143064,40.7878788
"332",-116.419389,34.9592083
"333",-122.373416,47.5821294
"335",-79.3831843,43.653226
"336",-74.4056612,40.0583238
"337",-95.712891,37.09024
"338",-81.5157535,27.6648274
"339",-73.1112433,44.4905054
"340",-111.73854,40.3641184
"341",-79.0377388,43.0962143
"342",-95.712891,37.09024
"344",77.2090212,28.6139391
"346",-74.0059728,40.7127753
"347",-83.7507315,42.6315066
"348",-78.6381787,35.7795897
"349",-74.5143232,40.9012101
"350",-74.0059728,40.7127753
"352",-94.6567404,38.8990511
"353",-95.3698028,29.7604267
"354",-95.3776663,45.8848164
"358",-74.104864,41.9973144
"359",-79.3831843,43.653226
"360",6.129583,49.815273
"361",-104.990251,39.7392358
"362",-84.2332718,39.5522815
"364",13.404954,52.5200066
"365",-102.4107493,34.2331373
"366",-93.2650108,44.977753
"367",-74.0059728,40.7127753
"369",-74.0059728,40.7127753
"370",-81.0348144,34.0007104
"371",-81.0348144,34.0007104
"373",-73.5387341,41.0534302
