"","Var1","Freq"
"1","arkansas",1
"2","california",4
"3","colorado",1
"4","district of columbia",1
"5","florida",1
"6","idaho",1
"7","illinois",1
"8","kansas",4
"9","kentucky",2
"10","maryland",3
"11","michigan",1
"12","missouri",5
"13","nevada",2
"14","new hampshire",1
"15","new jersey",1
"16","new york",1
"17","ohio",2
"18","oklahoma",1
"19","pennsylvania",1
"20","texas",7
"21","vermont",1
"22","wisconsin",1
